Text,Count,MappedByText,MappedByPattern,File
,2,,,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
%-n black mountain decay,1,%-n 黑山衰退,,hv_TEXT_effects_pooled_resource.loc.tsv
%-n horse breeding decay,1,%-n 養馬衰退,,hv_TEXT_effects_pooled_resource.loc.tsv
%-n resurrection decay,1,,,hv_TEXT_effects_pooled_resource.loc.tsv
%-n stratocracy decay,1,%-n 軍政衰退,,hv_TEXT_effects_pooled_resource.loc.tsv
%n Siege Towers per item (at siege escalation),1,,,hv_TEXT_etc.loc.tsv
"...dividing up the empire, parcelling it out in fiefs to the various kings and marquises, he was hailed as the mighty conqueror...",1,,,hv_TEXT_events_rules.loc.tsv
"A New Era, A New Ruler.",1,新時代，新主公。,,hv_TEXT_events_rules.loc.tsv
A Secret Plan,4,一條密計,,hv_TEXT_effects_skills.loc.tsv
A Storm of Swords,11,,劍刃風暴,hv_TEXT_skills_skill_ability__historical.loc.tsv
A Xiliang colonel has joined your faction.,1,一名西涼校尉加入您的勢力。,,hv_TEXT_events.loc.tsv
"A blade that is a beauty to behold. Inlaid with gold and embellished with shark skin, this blade is fit for a royal family.",1,,,hv_TEXT_skills_basic.loc.tsv
A captain and the guards commanding the army instead of the general.,1,由校尉和衛官來指揮軍隊。,,hv_TEXT_unit_desc.loc.tsv
A careful decision,1,慎重決定,,hv_TEXT_events.loc.tsv
A carefully-placed strike hobbles the unlucky enemy.,4,,,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A charge from a squadron of Spear cavalry is a daunting sight for any soldier. But to see the warriors of Yan descend upon them is a new brand of terror altogether.,1,對任何一個士兵來説，一隊持槍騎兵的衝鋒都會令人生畏。但如果殺來的是燕國戰士，則是一種全新的恐怖。,,hv_TEXT_unit_desc.loc.tsv
"A charge of great power, draining Xiahou Yuan's focus.",1,,,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
"A charge, fuelled by stern hearts and sterner blades, that will rip enemy lines apart.",2,,,hv_TEXT_skills_skill_ability__historical.loc.tsv
"A charge, fuelled by stern hearts and sterner blades, will rip enemy lines apart.",4,,,hv_TEXT_skills_skill_ability__historical.loc.tsv
A clash is inevitable.,6,,衝突無法避免。,hv_TEXT_skills_skill_ability__historical.loc.tsv
A close observation of the battlefield can bring remarkable insights.,1,,,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
"A cowardly conspiracy! There was a failed attempt to assassinate you during the banquet. Unfortunately, the assaliant was slain by the guards before he could be made to reveal the conspirator's identity.",1,陰謀！有人於宴會中欲加害於你。事雖未成，但刺客已被护卫弑杀，無法得知是誰在背後主謀。,,ifo_text_TWEAK.loc.tsv
"A decree has arrived from the imperial court. A banquet is to be held, and influential nobles from across China are invited to the imperial palace. Wary of our influence, the imperial protector may be plotting something. However, refusing an imperial decree may have grave consequences...",1,,,ifo_text_TWEAK.loc.tsv
A devastating swing with the power of the risen inferno!,5,,,hv_TEXT_skills_skill_ability__historical.loc.tsv
A display of unstoppable fury.,3,展現出勢不可擋的憤怒。,,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
"A few days after you and your men began searching the mountains, you come across an incredible sight. The den of a large white tiger and its family. The men are intimidated by its size and implore you to go back. You feel as if the massive tiger is staring at you.",1,,,hv_TEXT_events.loc.tsv
A few of your officers have gained additional experience.,1,您的一些官員獲得額外經驗。,,hv_TEXT_events.loc.tsv
A fierce wind blows.,1,狂風大作。,,hv_TEXT_unit_abilities.loc.tsv
A flurry of shafts slows the enemy advance.,2,,,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A focus on form allows one to evade and manoeuvre.,1,,,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A forest friendly man.,2,此人與林爲友。,,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A furious strike that sends anyone nearby reeling.,3,,,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
"A group of beggars appears before you. Among them, a girl dressed nicely comes forward and bows. The girl identifies herself as Dong Bai, the last kin of the tyrant Dong Zhuo, and begs you to take her.",2,,,hv_TEXT_events.loc.tsv
A group of unusual men sporting shaved heads disembark from a ship.  They claim to have journeyed from distant lands to spread the teachings of Buddha. Perhaps it will be worth supporting them?,1,從船上下來一群剃光頭的異人。他們自稱從遙遠地方來此傳播佛道。也許值得支持他們？,,hv_TEXT_events.loc.tsv
"A heavy bow made of iron is not easy to use for ordinary archers. \\n\n The range is rather short due to the strong tension and heavy arrowheads, but the arrows will penetrate the enemy. \\n\n This unit is heavily armed with ironclad, and in close combat, it cuts enemy troops with direct distribution.",1,,,hv_TEXT_unit_long_desc.loc.tsv
"A hero's resolve is not to seem the bravest, but to be it.",2,,,z_dummy_hv_TEXT_non_deployable.loc.tsv
A lifetime spent learning the ways of heaven will turn thoughts into belief.,2,,,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A look at the battlefield with remarkable insight.,4,,,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A master of the battlefield can undermine even the surest of soldiers.,2,,,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
"A merciless order, for Dong Zhuo's men and his enemies.",2,,,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A moment's respite from battlefield to heal our troops.,3,從戰場上喘息片刻，為我軍療傷。,,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A mysterious sword from the West. ,1,西域而來的神秘寶劍。,,hv_TEXT_ceo_weapon.loc.tsv
A new regime is coming into power.,1,新政權開始建立。,,hv_TEXT_effects_pooled_resource.loc.tsv
A noble messenger.,1,一名高貴的信使。,,z_dummy_hv_TEXT_non_deployable.loc.tsv
A place to trade with the natives.,1,與土著交易之處。,,hv_TEXT_building.loc.tsv
A place where great teachers and passionate students gather.,1,賢師高徒匯聚之所。,,hv_TEXT_building.loc.tsv
A prince's retinue reflects their glory in splendour. These brave cavalrymen match their splendour with equal prowress in battle.,1,,,hv_TEXT_unit_desc.loc.tsv
A quiet but enthusiastic supporter.,1,安靜但熱情的支持者。,,z_dummy_hv_TEXT_non_deployable.loc.tsv
"A reckless charge, inspiring but exhausting!",3,,,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A regiment of the Northern Army will join your faction.,1,一個北軍兵團會加入您的勢力。,,hv_TEXT_events.loc.tsv
A remarkable talent.,135,才華橫溢,,hv_TEXT_skills_additional.loc.tsv
A second wind has come.,1,,,hv_TEXT_effects_pooled_resource.loc.tsv
"A shabby warband requests to join your faction. After Lu Bu's defeat, his daughter Lu Ji seems to have been leading the survivors. However, granting them sanctuary may cause their enemies to come after us.",1,一隻殘軍請求加入您的勢力。呂布戰敗後，其女呂姬收攏潰卒。然而，接納他們可能會惹惱呂布之敵。,,hv_TEXT_events.loc.tsv
"A shabby warband requests to join your faction. After Yuan Shu's defeat, his generals Zhang Xun, Ji Ling and Yan Xiang to have been leading the survivors. However, granting them sanctuary may cause their enemies to come after us.",1,一隻殘軍請求加入您的勢力。袁術戰敗後，其部將張勳，紀靈及閻象收攏潰卒。然而，接納他們可能會惹惱袁術之敵。,,hv_TEXT_events.loc.tsv
"A shining, typical, and above all appropriate model of how one should be.",4,,,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A shout to inspire soldiers.,1,,,hv_TEXT_unit_abilities.loc.tsv
"A single shot, timed and aimed to perfection, outweighs a thousand wasted volleys.",2,,,hv_TEXT_skills_skill_ability__historical.loc.tsv
